id,character,category,category_index,checkpoint,prompt_positive,prompt_negative,seed,steps,cfg,sampler,scheduler,width,height,prompt_id,filename,subfolder,type,image_path,elapsed_seconds,created_at,approved,notes
valentina_sol_playa_001,Valentina Sol,playa,1,realvisxlV50_v50Bakedvae.safetensors,"photorealistic lifestyle portrait of Valentina Sol, virtual latina influencer, consistent face, oval face, warm olive skin, soft hazel eyes, thick natural dark brown wavy hair, defined brows, subtle beauty mark near left cheek, gentle confident smile, clean fresh makeup, sunlit natural light, premium lifestyle photography, 35mm lens, shallow depth of field, editorial but realistic, warm coastal color palette, cream linen outfit, gold minimal earrings, relaxed elegant pose, walking on a quiet beach at sunrise, cream linen shirt, sea breeze, soft waves in background, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","low quality, blurry, overprocessed, plastic skin, uncanny, distorted face, asymmetrical eyes, bad anatomy, extra fingers, missing fingers, deformed hands, duplicate person, childlike, old age, harsh makeup, heavy filters, watermark, logo, text, signature, cropped head, extreme closeup, nsfw, nude, lingerie, celebrity lookalike",310520260001,6,2.0,euler,normal,512,768,3ffef507-3659-4347-a576-a2991567e31a,valentina_sol_playa_001_00001_.png,dataset\valentina_sol\playa,output,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_001_00001_.png,2.036,2026-05-31T22:33:08.105271+00:00,False,initial_sdxl_seed_dataset
valentina_sol_playa_002,Valentina Sol,playa,2,realvisxlV50_v50Bakedvae.safetensors,"photorealistic lifestyle portrait of Valentina Sol, virtual latina influencer, consistent face, oval face, warm olive skin, soft hazel eyes, thick natural dark brown wavy hair, defined brows, subtle beauty mark near left cheek, gentle confident smile, clean fresh makeup, sunlit natural light, premium lifestyle photography, 35mm lens, shallow depth of field, editorial but realistic, warm coastal color palette, cream linen outfit, gold minimal earrings, relaxed elegant pose, sitting on a woven beach towel with a straw tote, golden hour, natural candid smile, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","low quality, blurry, overprocessed, plastic skin, uncanny, distorted face, asymmetrical eyes, bad anatomy, extra fingers, missing fingers, deformed hands, duplicate person, childlike, old age, harsh makeup, heavy filters, watermark, logo, text, signature, cropped head, extreme closeup, nsfw, nude, lingerie, celebrity lookalike",310520260002,6,2.0,euler,normal,512,768,838154c1-edbd-4a30-927b-4c95b5b94cf9,valentina_sol_playa_002_00001_.png,dataset\valentina_sol\playa,output,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_002_00001_.png,8.253,2026-05-31T22:33:16.360478+00:00,False,initial_sdxl_seed_dataset
valentina_sol_playa_003,Valentina Sol,playa,3,realvisxlV50_v50Bakedvae.safetensors,"photorealistic lifestyle portrait of Valentina Sol, virtual latina influencer, consistent face, oval face, warm olive skin, soft hazel eyes, thick natural dark brown wavy hair, defined brows, subtle beauty mark near left cheek, gentle confident smile, clean fresh makeup, sunlit natural light, premium lifestyle photography, 35mm lens, shallow depth of field, editorial but realistic, warm coastal color palette, cream linen outfit, gold minimal earrings, relaxed elegant pose, standing near turquoise water, light denim shorts, relaxed editorial summer pose, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","low quality, blurry, overprocessed, plastic skin, uncanny, distorted face, asymmetrical eyes, bad anatomy, extra fingers, missing fingers, deformed hands, duplicate person, childlike, old age, harsh makeup, heavy filters, watermark, logo, text, signature, cropped head, extreme closeup, nsfw, nude, lingerie, celebrity lookalike",310520260003,6,2.0,euler,normal,512,768,75779c16-dbe6-4005-a168-2f096799cbfb,valentina_sol_playa_003_00001_.png,dataset\valentina_sol\playa,output,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_003_00001_.png,8.047,2026-05-31T22:33:24.412550+00:00,False,initial_sdxl_seed_dataset
valentina_sol_playa_004,Valentina Sol,playa,4,realvisxlV50_v50Bakedvae.safetensors,"photorealistic lifestyle portrait of Valentina Sol, virtual latina influencer, consistent face, oval face, warm olive skin, soft hazel eyes, thick natural dark brown wavy hair, defined brows, subtle beauty mark near left cheek, gentle confident smile, clean fresh makeup, sunlit natural light, premium lifestyle photography, 35mm lens, shallow depth of field, editorial but realistic, warm coastal color palette, cream linen outfit, gold minimal earrings, relaxed elegant pose, holding sunglasses near the shore, wet sand reflection, clean coastal palette, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","low quality, blurry, overprocessed, plastic skin, uncanny, distorted face, asymmetrical eyes, bad anatomy, extra fingers, missing fingers, deformed hands, duplicate person, childlike, old age, harsh makeup, heavy filters, watermark, logo, text, signature, cropped head, extreme closeup, nsfw, nude, lingerie, celebrity lookalike",310520260004,6,2.0,euler,normal,512,768,0a719db0-78f3-4176-a281-ad21d7e24826,valentina_sol_playa_004_00001_.png,dataset\valentina_sol\playa,output,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_004_00001_.png,8.075,2026-05-31T22:33:32.489862+00:00,False,initial_sdxl_seed_dataset
valentina_sol_playa_005,Valentina Sol,playa,5,realvisxlV50_v50Bakedvae.safetensors,"photorealistic lifestyle portrait of Valentina Sol, virtual latina influencer, consistent face, oval face, warm olive skin, soft hazel eyes, thick natural dark brown wavy hair, defined brows, subtle beauty mark near left cheek, gentle confident smile, clean fresh makeup, sunlit natural light, premium lifestyle photography, 35mm lens, shallow depth of field, editorial but realistic, warm coastal color palette, cream linen outfit, gold minimal earrings, relaxed elegant pose, reading a small book under a white beach umbrella, calm premium lifestyle mood, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","low quality, blurry, overprocessed, plastic skin, uncanny, distorted face, asymmetrical eyes, bad anatomy, extra fingers, missing fingers, deformed hands, duplicate person, childlike, old age, harsh makeup, heavy filters, watermark, logo, text, signature, cropped head, extreme closeup, nsfw, nude, lingerie, celebrity lookalike",310520260005,6,2.0,euler,normal,512,768,91641edd-aa86-49a1-8958-98a0c60de58d,valentina_sol_playa_005_00001_.png,dataset\valentina_sol\playa,output,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_005_00001_.png,8.057,2026-05-31T22:33:40.549430+00:00,False,initial_sdxl_seed_dataset
valentina_sol_playa_006,Valentina Sol,playa,6,realvisxlV50_v50Bakedvae.safetensors,"photorealistic lifestyle portrait of Valentina Sol, virtual latina influencer, consistent face, oval face, warm olive skin, soft hazel eyes, thick natural dark brown wavy hair, defined brows, subtle beauty mark near left cheek, gentle confident smile, clean fresh makeup, sunlit natural light, premium lifestyle photography, 35mm lens, shallow depth of field, editorial but realistic, warm coastal color palette, cream linen outfit, gold minimal earrings, relaxed elegant pose, close portrait with ocean bokeh, minimal gold earrings, wind in wavy hair, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","low quality, blurry, overprocessed, plastic skin, uncanny, distorted face, asymmetrical eyes, bad anatomy, extra fingers, missing fingers, deformed hands, duplicate person, childlike, old age, harsh makeup, heavy filters, watermark, logo, text, signature, cropped head, extreme closeup, nsfw, nude, lingerie, celebrity lookalike",310520260006,6,2.0,euler,normal,512,768,42199a12-9089-473d-aa1f-c1679f4b5df1,valentina_sol_playa_006_00001_.png,dataset\valentina_sol\playa,output,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_006_00001_.png,8.05,2026-05-31T22:33:48.603597+00:00,False,initial_sdxl_seed_dataset
valentina_sol_playa_007,Valentina Sol,playa,7,realvisxlV50_v50Bakedvae.safetensors,"photorealistic lifestyle portrait of Valentina Sol, virtual latina influencer, consistent face, oval face, warm olive skin, soft hazel eyes, thick natural dark brown wavy hair, defined brows, subtle beauty mark near left cheek, gentle confident smile, clean fresh makeup, sunlit natural light, premium lifestyle photography, 35mm lens, shallow depth of field, editorial but realistic, warm coastal color palette, cream linen outfit, gold minimal earrings, relaxed elegant pose, walking barefoot on sand with linen overshirt, warm sun, travel diary mood, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","low quality, blurry, overprocessed, plastic skin, uncanny, distorted face, asymmetrical eyes, bad anatomy, extra fingers, missing fingers, deformed hands, duplicate person, childlike, old age, harsh makeup, heavy filters, watermark, logo, text, signature, cropped head, extreme closeup, nsfw, nude, lingerie, celebrity lookalike",310520260007,6,2.0,euler,normal,512,768,6abaf9b1-d2a1-4fe9-a6e7-3d303d81aa26,valentina_sol_playa_007_00001_.png,dataset\valentina_sol\playa,output,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_007_00001_.png,8.074,2026-05-31T22:33:56.685031+00:00,False,initial_sdxl_seed_dataset
valentina_sol_playa_008,Valentina Sol,playa,8,realvisxlV50_v50Bakedvae.safetensors,"photorealistic lifestyle portrait of Valentina Sol, virtual latina influencer, consistent face, oval face, warm olive skin, soft hazel eyes, thick natural dark brown wavy hair, defined brows, subtle beauty mark near left cheek, gentle confident smile, clean fresh makeup, sunlit natural light, premium lifestyle photography, 35mm lens, shallow depth of field, editorial but realistic, warm coastal color palette, cream linen outfit, gold minimal earrings, relaxed elegant pose, holding a reusable water bottle after a morning beach walk, healthy lifestyle aesthetic, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","low quality, blurry, overprocessed, plastic skin, uncanny, distorted face, asymmetrical eyes, bad anatomy, extra fingers, missing fingers, deformed hands, duplicate person, childlike, old age, harsh makeup, heavy filters, watermark, logo, text, signature, cropped head, extreme closeup, nsfw, nude, lingerie, celebrity lookalike",310520260008,6,2.0,euler,normal,512,768,8a571e68-9015-4d03-9bc5-4396b8ac5bac,valentina_sol_playa_008_00001_.png,dataset\valentina_sol\playa,output,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_008_00001_.png,8.048,2026-05-31T22:34:04.736838+00:00,False,initial_sdxl_seed_dataset
valentina_sol_playa_009,Valentina Sol,playa,9,realvisxlV50_v50Bakedvae.safetensors,"photorealistic lifestyle portrait of Valentina Sol, virtual latina influencer, consistent face, oval face, warm olive skin, soft hazel eyes, thick natural dark brown wavy hair, defined brows, subtle beauty mark near left cheek, gentle confident smile, clean fresh makeup, sunlit natural light, premium lifestyle photography, 35mm lens, shallow depth of field, editorial but realistic, warm coastal color palette, cream linen outfit, gold minimal earrings, relaxed elegant pose, seated on a low beach chair, coral swimsuit covered by linen wrap, tasteful non-revealing styling, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","low quality, blurry, overprocessed, plastic skin, uncanny, distorted face, asymmetrical eyes, bad anatomy, extra fingers, missing fingers, deformed hands, duplicate person, childlike, old age, harsh makeup, heavy filters, watermark, logo, text, signature, cropped head, extreme closeup, nsfw, nude, lingerie, celebrity lookalike",310520260009,6,2.0,euler,normal,512,768,be8cbc04-5eea-4e1c-9792-fe0d4f7c7957,valentina_sol_playa_009_00001_.png,dataset\valentina_sol\playa,output,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_009_00001_.png,8.052,2026-05-31T22:34:12.790730+00:00,False,initial_sdxl_seed_dataset
valentina_sol_playa_010,Valentina Sol,playa,10,realvisxlV50_v50Bakedvae.safetensors,"photorealistic lifestyle portrait of Valentina Sol, virtual latina influencer, consistent face, oval face, warm olive skin, soft hazel eyes, thick natural dark brown wavy hair, defined brows, subtle beauty mark near left cheek, gentle confident smile, clean fresh makeup, sunlit natural light, premium lifestyle photography, 35mm lens, shallow depth of field, editorial but realistic, warm coastal color palette, cream linen outfit, gold minimal earrings, relaxed elegant pose, looking back over shoulder on a wooden pier, sea blue background, soft cinematic light, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","low quality, blurry, overprocessed, plastic skin, uncanny, distorted face, asymmetrical eyes, bad anatomy, extra fingers, missing fingers, deformed hands, duplicate person, childlike, old age, harsh makeup, heavy filters, watermark, logo, text, signature, cropped head, extreme closeup, nsfw, nude, lingerie, celebrity lookalike",310520260010,6,2.0,euler,normal,512,768,fcdbe64c-fde9-49ae-a4d1-41f1f4043b0e,valentina_sol_playa_010_00001_.png,dataset\valentina_sol\playa,output,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_010_00001_.png,8.258,2026-05-31T22:34:21.053382+00:00,False,initial_sdxl_seed_dataset
